Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.39571e-04,-1.39571e-04,-7.50364e-05,3.40982e-22,1.89446e+00,-6.31351e-01,-1.01583e+00,1,4.16000e-02,3.00000e-01,4.16000e-02,2.00000e-03
1.34969e-04,-1.34969e-04,-7.14692e-05,-1.10575e-22,1.89345e+00,-6.27654e-01,-1.01584e+00,1,4.20000e-02,3.00000e-01,4.20000e-02,2.00000e-03
1.30301e-04,-1.30301e-04,-6.77715e-05,-2.84163e-22,1.89245e+00,-6.23957e-01,-1.01586e+00,1,4.24000e-02,3.00000e-01,4.24000e-02,2.00000e-03
1.25639e-04,-1.25639e-04,-6.40425e-05,-3.87836e-22,1.89145e+00,-6.20260e-01,-1.01588e+00,1,4.28000e-02,3.00000e-01,4.28000e-02,2.00000e-03
1.20947e-04,-1.20947e-04,-6.02342e-05,-5.12818e-22,1.89044e+00,-6.16563e-01,-1.01590e+00,1,4.32000e-02,3.00000e-01,4.32000e-02,2.00000e-03
1.16227e-04,-1.16227e-04,-5.63495e-05,-8.12753e-22,1.88944e+00,-6.12865e-01,-1.01591e+00,1,4.36000e-02,3.00000e-01,4.36000e-02,2.00000e-03
1.11510e-04,-1.11510e-04,-5.24338e-05,-1.21429e-21,1.88844e+00,-6.09168e-01,-1.01593e+00,1,4.40000e-02,3.00000e-01,4.40000e-02,2.00000e-03
1.06731e-04,-1.06731e-04,-4.83998e-05,-1.50468e-21,1.88743e+00,-6.05470e-01,-1.01595e+00,1,4.44000e-02,3.00000e-01,4.44000e-02,2.00000e-03
1.01956e-04,-1.01956e-04,-4.43373e-05,-1.72922e-21,1.88643e+00,-6.01772e-01,-1.01597e+00,1,4.48000e-02,3.00000e-01,4.48000e-02,2.00000e-03
9.71519e-05,-9.71519e-05,-4.02032e-05,-1.82677e-21,1.88543e+00,-5.98073e-01,-1.01598e+00,1,4.52000e-02,3.00000e-01,4.52000e-02,2.00000e-03
9.23206e-05,-9.23206e-05,-3.60008e-05,-1.84425e-21,1.88443e+00,-5.94375e-01,-1.01600e+00,1,4.56000e-02,3.00000e-01,4.56000e-02,2.00000e-03
8.74916e-05,-8.74916e-05,-3.17700e-05,-1.80867e-21,1.88343e+00,-5.90677e-01,-1.01602e+00,1,4.60000e-02,3.00000e-01,4.60000e-02,2.00000e-03
8.25987e-05,-8.25987e-05,-2.74162e-05,-1.37347e-21,1.88242e+00,-5.86978e-01,-1.01604e+00,1,4.64000e-02,3.00000e-01,4.64000e-02,2.00000e-03
7.77056e-05,-7.77056e-05,-2.30269e-05,-8.13312e-22,1.88142e+00,-5.83279e-01,-1.01606e+00,1,4.68000e-02,3.00000e-01,4.68000e-02,2.00000e-03
7.27873e-05,-7.27873e-05,-1.85765e-05,-1.48481e-22,1.88042e+00,-5.79580e-01,-1.01608e+00,1,4.72000e-02,3.00000e-01,4.72000e-02,2.00000e-03
6.78463e-05,-6.78463e-05,-1.40686e-05,2.68172e-22,1.87942e+00,-5.75881e-01,-1.01610e+00,1,4.76000e-02,3.00000e-01,4.76000e-02,2.00000e-03
6.29077e-05,-6.29077e-05,-9.53724e-06,5.41005e-22,1.87842e+00,-5.72182e-01,-1.01612e+00,1,4.80000e-02,3.00000e-01,4.80000e-02,2.00000e-03
5.79212e-05,-5.79212e-05,-4.91780e-06,4.82582e-22,1.87742e+00,-5.68482e-01,-1.01614e+00,1,4.84000e-02,3.00000e-01,4.84000e-02,2.00000e-03
5.29378e-05,-5.29378e-05,-2.77515e-07,3.79124e-22,1.87642e+00,-5.64783e-01,-1.01616e+00,1,4.88000e-02,3.00000e-01,4.88000e-02,2.00000e-03
4.79322e-05,-4.79322e-05,4.41542e-06,2.01622e-22,1.87541e+00,-5.61083e-01,-1.01617e+00,1,4.92000e-02,3.00000e-01,4.92000e-02,2.00000e-03
4.29061e-05,-4.29061e-05,9.15800e-06,9.07039e-23,1.87441e+00,-5.57383e-01,-1.01619e+00,1,4.96000e-02,3.00000e-01,4.96000e-02,2.00000e-03
3.78813e-05,-3.78813e-05,1.39212e-05,1.84958e-23,1.87341e+00,-5.53683e-01,-1.01621e+00,1,5.00000e-02,3.00000e-01,5.00000e-02,2.00000e-03
3.28144e-05,-3.28144e-05,1.87595e-05,1.55020e-22,1.87241e+00,-5.49983e-01,-1.01623e+00,1,5.04000e-02,3.00000e-01,5.04000e-02,2.00000e-03
2.77498e-05,-2.77498e-05,2.36157e-05,2.67045e-22,1.87141e+00,-5.46282e-01,-1.01626e+00,1,5.08000e-02,3.00000e-01,5.08000e-02,2.00000e-03
2.26634e-05,-2.26634e-05,2.85232e-05,2.93282e-22,1.87041e+00,-5.42582e-01,-1.01628e+00,1,5.12000e-02,3.00000e-01,5.12000e-02,2.00000e-03
1.75576e-05,-1.75576e-05,3.34827e-05,1.59413e-22,1.86941e+00,-5.38881e-01,-1.01630e+00,1,5.16000e-02,3.00000e-01,5.16000e-02,2.00000e-03
1.24538e-05,-1.24538e-05,3.84577e-05,-2.83925e-23,1.86841e+00,-5.35180e-01,-1.01632e+00,1,5.20000e-02,3.00000e-01,5.20000e-02,2.00000e-03
7.32151e-06,-7.32151e-06,4.34892e-05,-2.25339e-22,1.86741e+00,-5.31479e-01,-1.01634e+00,1,5.24000e-02,3.00000e-01,5.24000e-02,2.00000e-03
2.19328e-06,-2.19328e-06,4.85329e-05,-3.61340e-22,1.86641e+00,-5.27778e-01,-1.01636e+00,1,5.28000e-02,3.00000e-01,5.28000e-02,2.00000e-03
-2.94600e-06,2.94600e-06,5.36088e-05,-3.97936e-22,1.86541e+00,-5.24077e-01,-1.01638e+00,1,5.32000e-02,3.00000e-01,5.32000e-02,2.00000e-03
-8.09302e-06,8.09302e-06,5.87129e-05,-3.25480e-22,1.86441e+00,-5.20375e-01,-1.01640e+00,1,5.36000e-02,3.00000e-01,5.36000e-02,2.00000e-03
-1.32378e-05,1.32378e-05,6.38293e-05,-2.03038e-22,1.86342e+00,-5.16673e-01,-1.01642e+00,1,5.40000e-02,3.00000e-01,5.40000e-02,2.00000e-03
-1.83972e-05,1.83972e-05,6.89852e-05,3.85491e-23,1.86242e+00,-5.12972e-01,-1.01645e+00,1,5.44000e-02,3.00000e-01,5.44000e-02,2.00000e-03
-2.35521e-05,2.35521e-05,7.41500e-05,2.66911e-22,1.86142e+00,-5.09270e-01,-1.01647e+00,1,5.48000e-02,3.00000e-01,5.48000e-02,2.00000e-03
-2.87109e-05,2.87109e-05,7.93370e-05,4.79799e-22,1.86042e+00,-5.05567e-01,-1.01649e+00,1,5.52000e-02,3.00000e-01,5.52000e-02,2.00000e-03
-3.38698e-05,3.38698e-05,8.45421e-05,4.65434e-22,1.85942e+00,-5.01865e-01,-1.01651e+00,1,5.56000e-02,3.00000e-01,5.56000e-02,2.00000e-03
-3.90261e-05,3.90261e-05,8.97573e-05,3.44223e-22,1.85842e+00,-4.98163e-01,-1.01653e+00,1,5.60000e-02,3.00000e-01,5.60000e-02,2.00000e-03
-4.41819e-05,4.41819e-05,9.50001e-05,2.17546e-22,1.85743e+00,-4.94460e-01,-1.01656e+00,1,5.64000e-02,3.00000e-01,5.64000e-02,2.00000e-03
-4.93309e-05,4.93309e-05,1.00246e-04,1.11735e-22,1.85643e+00,-4.90757e-01,-1.01658e+00,1,5.68000e-02,3.00000e-01,5.68000e-02,2.00000e-03
-5.44743e-05,5.44743e-05,1.05502e-04,4.73735e-23,1.85543e+00,-4.87054e-01,-1.01660e+00,1,5.72000e-02,3.00000e-01,5.72000e-02,2.00000e-03
