x_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.09747e-02,1,1.18000e+01,3.00000e+01,1.18000e+01,0.00000e+00
-1.05584e-02,1,1.18400e+01,3.00000e+01,1.18400e+01,0.00000e+00
-1.01506e-02,1,1.18800e+01,3.00000e+01,1.18800e+01,0.00000e+00
-9.78458e-03,1,1.19200e+01,3.00000e+01,1.19200e+01,0.00000e+00
-9.41536e-03,1,1.19600e+01,3.00000e+01,1.19600e+01,0.00000e+00
-9.04293e-03,1,1.20000e+01,3.00000e+01,1.20000e+01,0.00000e+00
-8.70323e-03,1,1.20400e+01,3.00000e+01,1.20400e+01,0.00000e+00
-8.36033e-03,1,1.20800e+01,3.00000e+01,1.20800e+01,0.00000e+00
-8.01422e-03,1,1.21200e+01,3.00000e+01,1.21200e+01,0.00000e+00
-7.70991e-03,1,1.21600e+01,3.00000e+01,1.21600e+01,0.00000e+00
-7.41416e-03,1,1.22000e+01,3.00000e+01,1.22000e+01,0.00000e+00
-7.11527e-03,1,1.22400e+01,3.00000e+01,1.22400e+01,0.00000e+00
-6.81322e-03,1,1.22800e+01,3.00000e+01,1.22800e+01,0.00000e+00
-6.50802e-03,1,1.23200e+01,3.00000e+01,1.23200e+01,0.00000e+00
-6.19967e-03,1,1.23600e+01,3.00000e+01,1.23600e+01,0.00000e+00
-5.88815e-03,1,1.24000e+01,3.00000e+01,1.24000e+01,0.00000e+00
-5.64463e-03,1,1.24400e+01,3.00000e+01,1.24400e+01,0.00000e+00
-5.41675e-03,1,1.24800e+01,3.00000e+01,1.24800e+01,0.00000e+00
-5.18591e-03,1,1.25200e+01,3.00000e+01,1.25200e+01,0.00000e+00
-4.95212e-03,1,1.25600e+01,3.00000e+01,1.25600e+01,0.00000e+00
-4.71536e-03,1,1.26000e+01,3.00000e+01,1.26000e+01,0.00000e+00
-4.47562e-03,1,1.26400e+01,3.00000e+01,1.26400e+01,0.00000e+00
-4.23292e-03,1,1.26800e+01,3.00000e+01,1.26800e+01,0.00000e+00
-3.98724e-03,1,1.27200e+01,3.00000e+01,1.27200e+01,0.00000e+00
-3.73858e-03,1,1.27600e+01,3.00000e+01,1.27600e+01,0.00000e+00
-3.51078e-03,1,1.28000e+01,3.00000e+01,1.28000e+01,0.00000e+00
-3.35894e-03,1,1.28400e+01,3.00000e+01,1.28400e+01,0.00000e+00
