x,y,z,U_0,U_1,U_2,U_0m
0.3,0.315719064,0.002,0.000390059449,-0.000312209939,-4.27984784E-19,-0.000390059449
0.3,0.317056856,0.002,0.000403186177,-0.000321397921,-2.42593917E-19,-0.000403186177
0.3,0.318394649,0.002,0.000414423754,-0.000329355321,-2.19381449E-19,-0.000414423754
0.3,0.319732441,0.002,0.000423128089,-0.00033562446,-3.15712788E-19,-0.000423128089
0.3,0.321070234,0.002,0.000429099499,-0.000340160438,-3.57783866E-19,-0.000429099499
0.3,0.322408027,0.002,0.000432290834,-0.000343017613,-2.13177382E-19,-0.000432290834
0.3,0.323745819,0.002,0.000432223897,-0.000344082515,-8.15451126E-20,-0.000432223897
0.3,0.325083612,0.002,0.000428941231,-0.000343188243,-2.53539978E-19,-0.000428941231
0.3,0.326421405,0.002,0.000421776018,-0.000340013678,-3.66255226E-19,-0.000421776018
0.3,0.327759197,0.002,0.000411154676,-0.000334890827,-5.40141757E-19,-0.000411154676
0.3,0.32909699,0.002,0.000396533774,-0.000327655635,-1.78820258E-20,-0.000396533774
0.3,0.330434783,0.002,0.000378523042,-0.000318399535,-2.21368432E-19,-0.000378523042
0.3,0.331772575,0.002,0.000356176411,-0.000306575876,-1.0118401E-19,-0.000356176411
0.3,0.333110368,0.002,0.000330346231,-0.00029273379,-8.14004347E-23,-0.000330346231
0.3,0.334448161,0.002,0.000300818719,-0.000276764205,2.20921176E-20,-0.000300818719
0.3,0.335785953,0.002,0.000268169301,-0.000258814707,-2.26327632E-19,-0.000268169301
0.3,0.337123746,0.002,0.000231775417,-0.000238387949,-1.44220989E-19,-0.000231775417
0.3,0.338461538,0.002,0.000192628213,-0.000216116587,-1.14776295E-19,-0.000192628213
0.3,0.339799331,0.002,0.000150841447,-0.000191967813,-2.09111451E-20,-0.000150841447
0.3,0.341137124,0.002,0.000106845149,-0.000166056847,-2.8253686E-19,-0.000106845149
0.3,0.342474916,0.002,6.04854515E-05,-0.000138138884,-7.7773596E-20,-6.04854515E-05
0.3,0.343812709,0.002,1.26467316E-05,-0.000108797184,-1.44649337E-21,-1.26467316E-05
0.3,0.345150502,0.002,-3.635574E-05,-7.80812734E-05,2.08473546E-20,3.635574E-05
0.3,0.346488294,0.002,-8.61328062E-05,-4.60569885E-05,-4.64366846E-20,8.61328062E-05
0.3,0.347826087,0.002,-0.000136479629,-1.28281113E-05,-3.9946348E-20,0.000136479629
0.3,0.34916388,0.002,-0.000186802602,2.11867785E-05,-7.12710345E-20,0.000186802602
0.3,0.350501672,0.002,-0.000236760086,5.5881545E-05,-8.21499093E-20,0.000236760086
0.3,0.351839465,0.002,-0.000285967703,9.11997447E-05,1.8280545E-19,0.000285967703
0.3,0.353177258,0.002,-0.00033406197,0.000126705007,8.12371689E-20,0.00033406197
0.3,0.35451505,0.002,-0.000380791911,0.000162156886,2.69522669E-20,0.000380791911
0.3,0.355852843,0.002,-0.000425835985,0.000197376492,2.296584E-20,0.000425835985
0.3,0.357190635,0.002,-0.000468758097,0.000232180267,-1.89448579E-19,0.000468758097
0.3,0.358528428,0.002,-0.000509200758,0.000265956153,-1.96933356E-19,0.000509200758
0.3,0.359866221,0.002,-0.00054730254,0.000298669101,-5.3632068E-20,0.00054730254
0.3,0.361204013,0.002,-0.000582845934,0.000330103073,-9.77516108E-21,0.000582845934
0.3,0.362541806,0.002,-0.000615422413,0.000359854436,5.31797706E-21,0.000615422413
0.3,0.363879599,0.002,-0.00064486983,0.000387419843,-6.42700654E-20,0.00064486983
0.3,0.365217391,0.002,-0.000671613974,0.000412917183,-1.10473749E-19,0.000671613974
0.3,0.366555184,0.002,-0.000695555133,0.000436084933,-5.94654146E-20,0.000695555133
0.3,0.367892977,0.002,-0.0007162819,0.000456312458,-2.83524121E-20,0.0007162819
0.3,0.369230769,0.002,-0.000733943685,0.000473452022,-2.50574436E-20,0.000733943685
0.3,0.370568562,0.002,-0.000748978377,0.000487697559,-1.22891887E-19,0.000748978377
0.3,0.371906355,0.002,-0.000761353513,0.000498752256,-6.61294296E-22,0.000761353513
